,0
_xr_ccr_experian_attribute_tbca3283,60
_xr_ccr_days_since_inquiry_previously_seen,38
_xr_cfi_rs_r_twentyfour_hours_ago_threesixtyfive_days_ago,14
_xr_ccr_days_since_previous_bank_account_first_seen,151
_xr_cfi_crosstabs_crosstab_email_address_home_address,18
_xr_ccr_tradelines_tradeline_ALL.aco_cycles_summarized,43
_wp_pro_wp_emch_email_first_seen_days,116
bankyears,16
_xr_ccr_experian_attribute_brc7160,48
WP_IPTypeCable,15
_xr_ccr_sties_sty_ALL.alp_two_years_ago,46
_xr_caa_ea_tbcc4355,116
max_netmonthly,14
_xr_caa_ea_all5835,185
_xr_ccr_experian_attribute_trtr4280,25
_xr_crh_srh_surh_sumrhs_sumrh_total_open_balance,68
_xr_cfi_i_total_number_of_fraud_is,35
_xr_ccr_days_since_inquiry_first_seen,104
_xr_ccr_experian_attribute_rev7432,89
_xr_caa_ea_all2480,36
_wp_pro_wp_adch_type_Single_unit,29
_xr_cfi_crosstab_points_total,51
_xr_ccr_sties_sty_C3.inq_fifteen_days_ago,19
_xr_caa_ea_bcc5620,63
_xr_caa_ea_bcc5421,42
_xr_ccr_sties_sty_C3.inq_seven_days_ago,13
_xr_caa_ea_all5070,38
_xr_i_total_historical_inquiries,27
_xr_ccr_sties_sty_C3.ato_one_year_ago,33
_xr_i_ssn_last_name_count,18
_xr_ccr_sties_sty_C1.nto_three_years_ago,20
_xr_ccr_experian_attribute_tcol3553,30
_xr_caa_ea_rev5620,43
_xr_cfi_rs_r_ninety_days_ago_threesixtyfive_days_ago,47
_xr_cfi_crosstabs_crosstab_home_address_email_address,14
_xr_caa_sties_sty_C1.inq_three_years_ago,77
_xr_ccr_experian_attribute_all7360,52
CI_NumDaysUntilDateOfNextPayday,26
_xr_ccr_experian_attribute_tbcc3203,94
_xr_cfi_i_in_state_bank_i_nan,27
_xr_caa_sties_sty_CA.inq_two_years_ago,34
_xr_caa_ea_brc1300,37
_xr_crh_srh_trrhs_trrh_cycles_summarized,21
last_seen_email_days,32
_xr_ccr_sties_sty_C3.ato_thirty_days_ago,11
CF_CFCrosstabEAsum,17
_xr_cfi_rs_r_ten_minutes_ago_ninety_days_ago,22
_xr_ccr_sties_sty_ALL.dd_one_year_ago,33
_xr_ccr_sties_sty_C1.inq_one_hundred_eighty_days_ago,17
_xr_caa_ea_brc3510,18
_xr_cfi_crosstab_multiple,52
_xr_caa_ea_all0700,50
_xr_caa_sties_sty_C1.inq_two_years_ago,68
_xr_caa_ea_rev5320,26
_xr_cfi_iv_drivers_license_match_result_Unavailable,12
_xr_ccr_sties_sty_ALL.ato_one_hundred_eighty_days_ago,13
_xr_caa_ea_bca2350,22
_xr_caa_ea_all2990,15
_xr_cfi_rs_r_one_minute_ago_thirty_days_ago,12
_xr_caa_ea_brc5620,60
_xr_ccr_days_since_first_bank_account_previously_seen,127
_xr_caa_ea_trtr2261,62
CF_CFCrosstabHAsum,50
_xr_caa_ea_iqt9410,55
CFI_sties_MI_ratio_90d365d,37
_xr_crh_srh_surh_days_with_open_loans_in_the_last_year,23
CRH_AmountPaid,44
_xr_caa_ea_all2326,28
_xr_i_net_monthly_income,19
_xr_caa_ea_brc5320,31
_xr_ccr_days_since_last_ontime_payment,82
_xr_caa_ea_iqt9415,42
_xr_ccr_experian_attribute_iln7150,59
CF_CFCrosstabSSNsum,23
CI_NumDaysSinceDateOfLastAcivity,60
_xr_caa_ea_all2005,35
_xr_ccr_sties_sty_CA.inq_one_year_ago,22
_xr_caa_ea_tbca2619,76
_xr_cfi_rs_r_one_minute_ago_threesixtyfive_days_ago,14
_xr_caa_sties_sty_CA.inq_three_years_ago,34
_xr_ccr_experian_attribute_fip1380,63
CRH_tirh_ratio_7d30d,16
CFI_sties_Inquiry_ratio_90d365d,114
_xr_caa_ea_rev2320,40
_xr_caa_ea_all2380,38
_xr_i_ssn_first_name_count,32
_xr_caa_ea_all0100,53
_xr_ccr_sties_sty_ALL.alp_three_years_ago,25
_xr_ccr_sties_sty_ALL.dd_two_years_ago,43
_xr_ccr_sties_sty_C3.inq_one_hundred_eighty_days_ago,39
_xr_caa_ea_bcc3512,19
_xr_caa_ea_all0200,48
_xr_ccr_experian_attribute_iln6230,38
_xr_caa_ea_bca5070,31
_xr_ccr_sties_sty_C3.dd_three_years_ago,22
_xr_caa_ea_all2327,35
_xr_cfi_rs_r_ten_minutes_ago_threesixtyfive_days_ago,19
_xr_i_ofac_score,31
_xr_ccr_experian_attribute_trtr3752,58
_xr_caa_ea_aua0416,13
_xr_cfi_multiple_ninety_days_ago,19
std_netmonthly,20
_xr_caa_ea_bcc1360,20
_xr_ccr_tradelines_tradeline_ALL.aco_amount_past_due,12
CRH_tirh_ratio_24h30d,30
CRH_NumberOfCurrentPayments,30
_xr_ccr_sties_sty_ALL.dlp_two_years_ago,15
_xr_ccr_sties_sty_CA.inq_ninety_days_ago,17
CRH_NumDaysSinceAccountOpened,83
_xr_ccr_sties_sty_ALL.ato_two_years_ago,30
_xr_cfi_i_cross_aba_number_of_ssns_with_bank_account,17
_xr_ccr_sties_sty_C3.inq_sixty_days_ago,20
_xr_caa_sties_sty_C3.inq_three_years_ago,42
_xr_ccr_sties_sty_C3.dd_one_year_ago,14
_xr_ccr_experian_attribute_fip6200,18
_xr_caa_sties_sty_CA.clu_sixty_days_ago,16
CF_CFCrosstabBAsum,23
_xr_ccr_sties_sty_C3.dd_one_hundred_eighty_days_ago,16
_wp_pro_wp_phch_phone_to_address_Match,18
_xr_caa_ea_bcc0416,13
