,0
_xr_ccr_days_since_first_bank_account_first_seen,158
CRH_NumDaysSinceInquiryReceivedAt,203
n_months_address,120
_xr_caa_ea_brc5620,86
_xr_ccr_experian_attribute_rev4080,20
_wp_pro_wp_phch_phone_to_address_No_match,21
_xr_cfi_rs_r_thirty_days_ago_ninety_days_ago,23
_xr_caa_ea_bcc3512,19
_xr_ccr_sties_sty_C3.inq_sixty_days_ago,32
netmonthly_cf_risk,97
_xr_caa_ea_iqt9417,70
_xr_caa_ea_rev5620,56
_xr_cfi_points_total_threesixtyfive_days_ago,20
_xr_caa_ea_rtr5320,101
_xr_cfi_sty_score,137
_xr_caa_ea_rev5320,39
_xr_caa_sties_sty_C3.inq_three_years_ago,40
_xr_caa_ea_rtr0300,54
_xr_caa_ea_all2907,14
_xr_i_net_monthly_income,73
_xr_caa_ea_bcc3342,20
_xr_caa_sties_sty_CA.clu_two_years_ago,25
_xr_ccr_sties_sty_C3.dlp_seven_years_ago,36
CRH_AmountPaid,31
_xr_caa_ea_brc5020,62
_xr_ccr_sties_sty_C3.inq_thirty_days_ago,17
CRH_ticlrh_ratio_24h30d,11
_xr_caa_ea_all1360,27
_xr_caa_ea_mtf0300,46
n_months_emp,33
_xr_crh_srh_trrhs_trrh_current_balance,31
_xr_i_ssn_first_last_name_count,35
avg_netmonthly,25
CCRCAA_C3NumberofLoansScore,24
_xr_ccr_sties_sty_ALL.alp_seven_years_ago,54
_xr_cfi_rs_r_fifteen_days_ago_ninety_days_ago,22
_xr_ccr_experian_attribute_all7360,96
_wp_pro_wp_phch_phone_to_address_Match,19
_xr_ccr_sties_sty_ALL.dd_one_year_ago,30
WP_IPTypeCable,20
CFI_sties_HA_ratio_90d365d,11
_xr_ccr_experian_attribute_brc7140,93
received_hour,88
_xr_caa_ea_rev1360,30
_xr_ccr_sties_sty_ALL.dd_two_years_ago,70
_xr_ccr_sties_sty_C3.inq_ninety_days_ago,50
_xr_caa_ea_taua4710,89
_xr_crh_srh_surh_days_with_open_loans_in_the_last_ninety_days,14
_xr_caa_ea_iqt9426,54
_xr_caa_ea_all0448,31
_xr_ccr_days_since_inquiry_previously_seen,71
ccr_req_amnt_amount_current_open_ratio,92
_xr_caa_ea_tbca3255,114
CRH_NumDaysSinceLastAccountVerified,85
_xr_ccr_sties_sty_C3.ato_three_years_ago,20
_xr_crh_srh_surh_days_with_open_loans_in_the_last_year,32
_xr_ccr_experian_attribute_bcc6160,17
_xr_cfi_crosstabs_crosstab_ssn_home_address,11
_xr_ccr_sties_sty_C1.dd_three_years_ago,13
_xr_caa_ea_bcc3345,21
_xr_caa_ea_all2326,33
_xr_ccr_days_since_last_loan_charged_off,54
_xr_ccr_sties_sty_C3.ato_seven_years_ago,53
_xr_cfi_i_max_number_of_ssns_with_any_bank_account,11
empyears,12
_xr_caa_ea_all2327,36
_xr_caa_ea_bcc5620,70
_xr_cfi_crosstab_points_total,60
_xr_caa_sties_sty_CA.clu_sixty_days_ago,20
_xr_cfi_rs_r_ten_minutes_ago_ninety_days_ago,23
_xr_caa_ea_all2005,34
_xr_ccr_sties_sty_ALL.ato_thirty_days_ago,14
_xr_crh_srh_trrhs_trrh_cycles_summarized,33
CFI_sties_DL_ratio_90d365d,17
_xr_ccr_sties_sty_C3.inq_fifteen_days_ago,25
_xr_cfi_multiple_ninety_days_ago,29
rentorown_R,14
_xr_caa_ea_rev5627,22
CF_CFCrosstabHAsum,61
_xr_cfi_rs_r_one_hour_ago_ninety_days_ago,17
_xr_ccr_experian_attribute_trtr4280,20
_xr_ccr_sties_sty_ALL.dd_three_years_ago,67
_xr_caa_sties_sty_C1.inq_three_years_ago,86
_xr_cfi_crosstabs_crosstab_email_address_home_address,20
_xr_ccr_experian_attribute_tcol3553,45
CFI_sties_WP_ratio_90d365d,38
CCRCAA_ALLNumberofLoansScore,30
_xr_ccr_sties_sty_C3.inq_one_hundred_eighty_days_ago,41
_xr_caa_ea_brc5320,35
_xr_crh_srh_surh_sumrhs_sumrh_total_open_balance,46
_xr_caa_ea_bcc1360,24
CRH_tirh_ratio_24h30d,24
_xr_i_ssn_distinct_first_last_name_count,14
_xr_caa_ea_all0436,22
_xr_caa_ea_trtr2261,70
_xr_cfi_multiple_fifteen_days_ago,13
_xr_caa_ea_brc1300,28
_xr_ccr_experian_attribute_tbcc3203,107
